content;seq_lengths;tags;subsent_nb
#高校自主招生报名开启# 调查：高校自主招生开始报名 你怎么看？这两天，近百所高校发布招生简章。今年的自主招生考试要在高考后进行，且必须12天之内完成。这样的“速战速决”您怎么看？参与互动，即有机会赢取自拍神器。<>作为一个高三学生，目前先把高考前复习的内容整理好，查缺补漏，然后再想这个。到时候就当旅游了;106,45;1,1;2
#高校自主招生报名开启# 调查：高校自主招生开始报名 你怎么看？这两天，近百所高校发布招生简章。今年的自主招生考试要在高考后进行，且必须12天之内完成。这样的“速战速决”您怎么看？参与互动，即有机会赢取自拍神器。<>#高校自主招生报名开启# 好的开始嘛~有一种爷爷奶奶辈的“赶上社会主义的好时代啦”的赶脚......;106,50;1,2;2
【2015年柏林电影节金熊奖的同情与失败】伊朗导演贾法·帕纳希的《出租车》获得了第65届柏林电影节的最佳影片奖。但他被限制出境无法出席。“他没有让自己的精神被摧垮，没有放弃，没有让自己陷入愤怒和烦闷，贾法·帕纳希给电影写了一封情书。”颁奖词如此说。 http://t.cn/RwnHwPW<>伊朗导演贾法·帕纳希的《出租车》获得了第65届柏林国际电影节的最佳影片奖。他被限制出境，外甥女哈娜·萨伊迪替他领了奖。她在影片中扮演了她自己。;144,71;1,1;2
【2015年柏林电影节金熊奖的同情与失败】伊朗导演贾法·帕纳希的《出租车》获得了第65届柏林电影节的最佳影片奖。但他被限制出境无法出席。“他没有让自己的精神被摧垮，没有放弃，没有让自己陷入愤怒和烦闷，贾法·帕纳希给电影写了一封情书。”颁奖词如此说。 http://t.cn/RwnHwPW<>他是我的榜样;144,6;1,2;2
【2015年柏林电影节金熊奖的同情与失败】伊朗导演贾法·帕纳希的《出租车》获得了第65届柏林电影节的最佳影片奖。但他被限制出境无法出席。“他没有让自己的精神被摧垮，没有放弃，没有让自己陷入愤怒和烦闷，贾法·帕纳希给电影写了一封情书。”颁奖词如此说。 http://t.cn/RwnHwPW<>还能说什么呢？;144,7;1,1;2
【2015年柏林电影节金熊奖的同情与失败】伊朗导演贾法·帕纳希的《出租车》获得了第65届柏林电影节的最佳影片奖。但他被限制出境无法出席。“他没有让自己的精神被摧垮，没有放弃，没有让自己陷入愤怒和烦闷，贾法·帕纳希给电影写了一封情书。”颁奖词如此说。 http://t.cn/RwnHwPW<>期待中国导演拍出好的作品;144,12;1,2;2
【2015年柏林电影节金熊奖的同情与失败】伊朗导演贾法·帕纳希的《出租车》获得了第65届柏林电影节的最佳影片奖。但他被限制出境无法出席。“他没有让自己的精神被摧垮，没有放弃，没有让自己陷入愤怒和烦闷，贾法·帕纳希给电影写了一封情书。”颁奖词如此说。 http://t.cn/RwnHwPW<>[炸鸡和啤酒];144,7;1,1;2
【违反#建国后动物不许成精#规定系列】狗精会打字；猫精变身蜜蜂；马精能倒车入库；鹦鹉精唱起了《纤夫的爱》http://t.cn/RwGBNn2。。。<>都成精啦;74,4;1,1;2
#来论#【与女儿一起识别歧视】影视文化传达的一些性别歧视的信息，它对女儿产生的影响，常让我束手无策。而在谈到是否存在歧视时，一些女人会说我没有感觉到其中的性别歧视。其实，判断标准是公平与合理，比如女人不宜搞哲学此说法，就算大多女生接受了，那也是一种性别歧视。http://t.cn/RwnHU0J<>将一切事物简单化、符号化，是人类为了便于识别而自觉不自觉而使用的方法。但同时也造成了无数的框框架架，枷锁人的意识思想。世界本是多元化，思想本应是自由。‘孩子一起讨论是非曲直。告诉孩子什么是歧视，让他们不仅不要跟着学习，而且在遭遇歧视的时候可以辨别出来，拒绝接受。’;148,132;1,1;2
#来论#【与女儿一起识别歧视】影视文化传达的一些性别歧视的信息，它对女儿产生的影响，常让我束手无策。而在谈到是否存在歧视时，一些女人会说我没有感觉到其中的性别歧视。其实，判断标准是公平与合理，比如女人不宜搞哲学此说法，就算大多女生接受了，那也是一种性别歧视。http://t.cn/RwnHU0J<>[可爱][可爱]作者真是太可爱的一个男生<>NaN<>NaN<>就算所有人接受了，那还是歧视。作者真是一个可爱的男孩子！;148,20,3,3,28;1,2,1,1,1;5
#来论#【与女儿一起识别歧视】影视文化传达的一些性别歧视的信息，它对女儿产生的影响，常让我束手无策。而在谈到是否存在歧视时，一些女人会说我没有感觉到其中的性别歧视。其实，判断标准是公平与合理，比如女人不宜搞哲学此说法，就算大多女生接受了，那也是一种性别歧视。http://t.cn/RwnHU0J<>[可爱][可爱]作者真是太可爱的一个男生<>NaN<>很棒！这才是对未来负责;148,20,3,11;1,2,1,2;4
#来论#【与女儿一起识别歧视】影视文化传达的一些性别歧视的信息，它对女儿产生的影响，常让我束手无策。而在谈到是否存在歧视时，一些女人会说我没有感觉到其中的性别歧视。其实，判断标准是公平与合理，比如女人不宜搞哲学此说法，就算大多女生接受了，那也是一种性别歧视。http://t.cn/RwnHU0J<>克服男女有别的成见;148,9;1,1;2
#来论#【与女儿一起识别歧视】影视文化传达的一些性别歧视的信息，它对女儿产生的影响，常让我束手无策。而在谈到是否存在歧视时，一些女人会说我没有感觉到其中的性别歧视。其实，判断标准是公平与合理，比如女人不宜搞哲学此说法，就算大多女生接受了，那也是一种性别歧视。http://t.cn/RwnHU0J<>NaN<>\其实，被歧视者的主观感受固然值得重视，但是它并不是判断歧视与否的主要标准。歧视的定义是基于偏见等不合理因素的区别对待，公平与合理，是最重要的标尺。比如，女人不宜搞哲学这种说法，就算大多数女生都接受了，而且因此真的不喜欢哲学，那也是一种性别歧视。”;148,3,124;1,1,1;3
#来论#【与女儿一起识别歧视】影视文化传达的一些性别歧视的信息，它对女儿产生的影响，常让我束手无策。而在谈到是否存在歧视时，一些女人会说我没有感觉到其中的性别歧视。其实，判断标准是公平与合理，比如女人不宜搞哲学此说法，就算大多女生接受了，那也是一种性别歧视。http://t.cn/RwnHU0J<>将平等的观念深入到日常生活中。前提是观念教导者本身持什么观点。;148,31;1,1;2
#来论#【与女儿一起识别歧视】影视文化传达的一些性别歧视的信息，它对女儿产生的影响，常让我束手无策。而在谈到是否存在歧视时，一些女人会说我没有感觉到其中的性别歧视。其实，判断标准是公平与合理，比如女人不宜搞哲学此说法，就算大多女生接受了，那也是一种性别歧视。http://t.cn/RwnHU0J<>平等并不意味这同等对待，至少女娲造人的时候也“歧视”了一回。歧视和适当的区别对待很难分清楚，或者说从来就没有什么统一的标准去区分它们。但这不该成为我们只会跟随社会舆论的借口，我们都需要有自己的判断力与价值取向。;148,105;1,1;2
【深圳致9死机场车祸原因:司机超速且操作不当】本月初，深圳机场女子驾车失控撞向护栏，造成9死22伤。深圳警方今日表示，事故原因为司机超速驾驶、且操作不当。警方称，事故发生后，司机爬上高架桥护栏坠桥导致重伤，送医院经抢救无效死亡，排除其在事故发生后因救人导致坠桥。http://t.cn/Rwk1et4<>司机为何爬护栏？[吃惊]<>自杀[疑問]复杂了;150,12,9;1,0,0;3
【深圳致9死机场车祸原因:司机超速且操作不当】本月初，深圳机场女子驾车失控撞向护栏，造成9死22伤。深圳警方今日表示，事故原因为司机超速驾驶、且操作不当。警方称，事故发生后，司机爬上高架桥护栏坠桥导致重伤，送医院经抢救无效死亡，排除其在事故发生后因救人导致坠桥。http://t.cn/Rwk1et4<>司机为何爬护栏？[吃惊]<>自觉罪孽深重，跳楼自杀呗;150,12,12;1,0,0;3
【深圳致9死机场车祸原因:司机超速且操作不当】本月初，深圳机场女子驾车失控撞向护栏，造成9死22伤。深圳警方今日表示，事故原因为司机超速驾驶、且操作不当。警方称，事故发生后，司机爬上高架桥护栏坠桥导致重伤，送医院经抢救无效死亡，排除其在事故发生后因救人导致坠桥。http://t.cn/Rwk1et4<>司机为何爬护栏？[吃惊]<>同车人为何撒谎？为何司机会爬栏跳死？究竟车上两人间发生了什么？看过视频的请来说说——还能比她那样操作造成更大的死亡伤害吗？她赴死前心理是怎么想的？？？;150,12,75;1,0,0;3
【深圳致9死机场车祸原因:司机超速且操作不当】本月初，深圳机场女子驾车失控撞向护栏，造成9死22伤。深圳警方今日表示，事故原因为司机超速驾驶、且操作不当。警方称，事故发生后，司机爬上高架桥护栏坠桥导致重伤，送医院经抢救无效死亡，排除其在事故发生后因救人导致坠桥。http://t.cn/Rwk1et4<>司机为何爬护栏？[吃惊]<>会不会是毒驾？;150,12,7;1,0,1;3
【深圳致9死机场车祸原因:司机超速且操作不当】本月初，深圳机场女子驾车失控撞向护栏，造成9死22伤。深圳警方今日表示，事故原因为司机超速驾驶、且操作不当。警方称，事故发生后，司机爬上高架桥护栏坠桥导致重伤，送医院经抢救无效死亡，排除其在事故发生后因救人导致坠桥。http://t.cn/Rwk1et4<>两个当事者的家庭背景？出了这么大的事，不用牵扯到他们的家庭来谈赔偿问题？政府1000多万全部默默无语地自觉承担，没有一句怨言？普通百姓家庭早就牵扯进来陪个倾家荡产了！更奇怪的是连媒体记者们也不敢多出声，集体哑巴了！想想都醉了啊！！！;150,116;1,0;2
【深圳致9死机场车祸原因:司机超速且操作不当】本月初，深圳机场女子驾车失控撞向护栏，造成9死22伤。深圳警方今日表示，事故原因为司机超速驾驶、且操作不当。警方称，事故发生后，司机爬上高架桥护栏坠桥导致重伤，送医院经抢救无效死亡，排除其在事故发生后因救人导致坠桥。http://t.cn/Rwk1et4<>行人出现在不该出现的地方，行人要担责任的。司机主要责任。;150,28;1,1;2
Google Now 最终会显示来自所有 app 的资讯 另外，Chennapragada 也不担心在没有 Google 的控制下，app 跟 app 之间会有「碰撞」，因为用户的使用习惯自然会决定哪张卡会在 Google Now 上出现，哪张卡不会出现。 http://t.cn/RwDjBg6 <>使用不了Google Now服务的移动互联网是残缺的~<>期待更多的第三方加入Google Now的大阵营~Now实在太好用！（如果是英文使用者就更amazing啦）;149,27,54;1,2,2;3
Google Now 最终会显示来自所有 app 的资讯 另外，Chennapragada 也不担心在没有 Google 的控制下，app 跟 app 之间会有「碰撞」，因为用户的使用习惯自然会决定哪张卡会在 Google Now 上出现，哪张卡不会出现。 http://t.cn/RwDjBg6 <>使用不了Google Now服务的移动互联网是残缺的~<>不能同意更多。;149,27,7;1,2,2;3
Google Now 最终会显示来自所有 app 的资讯 另外，Chennapragada 也不担心在没有 Google 的控制下，app 跟 app 之间会有「碰撞」，因为用户的使用习惯自然会决定哪张卡会在 Google Now 上出现，哪张卡不会出现。 http://t.cn/RwDjBg6 <>使用不了Google Now服务的移动互联网是残缺的~<>可恶的GFW，让我们的“互联网”变成残疾的。;149,27,22;1,2,0;3
Google Now 最终会显示来自所有 app 的资讯 另外，Chennapragada 也不担心在没有 Google 的控制下，app 跟 app 之间会有「碰撞」，因为用户的使用习惯自然会决定哪张卡会在 Google Now 上出现，哪张卡不会出现。 http://t.cn/RwDjBg6 <>说了那么多，GoogleNow在大陆也用不了;149,22;1,1;2
Google Now 最终会显示来自所有 app 的资讯 另外，Chennapragada 也不担心在没有 Google 的控制下，app 跟 app 之间会有「碰撞」，因为用户的使用习惯自然会决定哪张卡会在 Google Now 上出现，哪张卡不会出现。 http://t.cn/RwDjBg6 <>深有体会，我现在已经离不开google now了。;149,25;1,2;2
#新浪尘世# 【“别管我了，救孩子”[泪]】当60岁的奶奶、3岁的孙子分别被查出患有宫颈癌晚期和白血病，奶奶说出了这样一句话。目前奶奶已执意出院回家，平凡家庭的心酸抉择：http://t.cn/RwFHYwQ #中国人故事#<>人间充满爱的;112,6;1,2;2
#新浪尘世# 【“别管我了，救孩子”[泪]】当60岁的奶奶、3岁的孙子分别被查出患有宫颈癌晚期和白血病，奶奶说出了这样一句话。目前奶奶已执意出院回家，平凡家庭的心酸抉择：http://t.cn/RwFHYwQ #中国人故事#<>好可怜的宝宝[泪][泪][泪][泪][泪][泪];112,24;1,0;2
【教育特区里的淘金者 】2014年自主招生，上海所有一本高校增加面试环节，许多考生茫然无措。郑文丞的培训机构顺势增开了同济大学、华东师范大学等5所高校面试冲刺班，和复旦交大的培训一样，收费3680元一天。教室被考生挤爆，面试培训一个月赚了300万元。http://t.cn/Rwg5baT<>增加面试是人才全方位考核的开始，一个学生，不应该仅把分数做为考核筛选的标准。;144,38;1,1;2
【教育特区里的淘金者 】2014年自主招生，上海所有一本高校增加面试环节，许多考生茫然无措。郑文丞的培训机构顺势增开了同济大学、华东师范大学等5所高校面试冲刺班，和复旦交大的培训一样，收费3680元一天。教室被考生挤爆，面试培训一个月赚了300万元。http://t.cn/Rwg5baT<>真能找辙挣钱[怒];144,9;1,0;2
【教育特区里的淘金者 】2014年自主招生，上海所有一本高校增加面试环节，许多考生茫然无措。郑文丞的培训机构顺势增开了同济大学、华东师范大学等5所高校面试冲刺班，和复旦交大的培训一样，收费3680元一天。教室被考生挤爆，面试培训一个月赚了300万元。http://t.cn/Rwg5baT<>针对高考的学校组织的叫应试教育，针对自主招生的高校学生组织的是创业。;144,34;1,1;2
【湖北检察机关依法对蒋洁敏涉嫌受贿、巨额财产来源不明、国有公司人员滥用职权案提起公诉】<>#大要案讯#起诉书指控:被告人蒋洁敏利用其职务上的便利，为他人谋取利益，索取、非法收受他人巨额财物；财产、支出明显超过合法收入，差额特别巨大且不能说明来源；滥用职权，致使国家利益遭受特别重大损失，应当以受贿罪、巨额财产来源不明罪、国有公司人员滥用职权罪追究其刑事责任。;43,134;1,1;2
【湖北检察机关依法对蒋洁敏涉嫌受贿、巨额财产来源不明、国有公司人员滥用职权案提起公诉】<>[围观][围观]#张闯无罪: 一息尚存,申冤不止！#2014年9月9日,我向@吉林检察 递交了http://t.cn/RhVnPw0 11月3日移交@通化检察 复审。 2015年2月5日@通化检察 以“不予抗诉”结案。在向@吉林检察 申诉155天之后,于2月11日再次向@吉林检察 提起申诉。今天是3月23日,是再次向@吉林检察 提起申诉的第41天！;43,175;1,1;2
【湖北检察机关依法对蒋洁敏涉嫌受贿、巨额财产来源不明、国有公司人员滥用职权案提起公诉】<>【国务院国资委原主任蒋洁敏被公诉】;43,17;1,1;2
【气温就是这么任性[doge]】乍暖还寒，你无法确定今天是春天还是冬天[生病]今明两天，升温继续，长春、沈阳、合肥、武汉等大城市气温有望创新高，辽宁局地最高将超15℃以上！但周日起，一股冷空气将给中东部带来4-6℃降温，东北局部降10-12℃[吃惊]http://t.cn/RAholzr 这忽上忽下的，请坚强[奥特曼]<>转发微博<>去长春的? 祝你幸福@山雨欲来风满楼shirley<>已离开学校！不要太想我[害羞][害羞][害羞];160,4,25,23;1,1,1,2;4
【气温就是这么任性[doge]】乍暖还寒，你无法确定今天是春天还是冬天[生病]今明两天，升温继续，长春、沈阳、合肥、武汉等大城市气温有望创新高，辽宁局地最高将超15℃以上！但周日起，一股冷空气将给中东部带来4-6℃降温，东北局部降10-12℃[吃惊]http://t.cn/RAholzr 这忽上忽下的，请坚强[奥特曼]<>转发微博<>昨天还以为夏天到了，今天冬天又回来了[喵喵];160,4,22;1,1,1;3
【气温就是这么任性[doge]】乍暖还寒，你无法确定今天是春天还是冬天[生病]今明两天，升温继续，长春、沈阳、合肥、武汉等大城市气温有望创新高，辽宁局地最高将超15℃以上！但周日起，一股冷空气将给中东部带来4-6℃降温，东北局部降10-12℃[吃惊]http://t.cn/RAholzr 这忽上忽下的，请坚强[奥特曼]<>今天又冷了[闭嘴];160,9;1,1;2
【气温就是这么任性[doge]】乍暖还寒，你无法确定今天是春天还是冬天[生病]今明两天，升温继续，长春、沈阳、合肥、武汉等大城市气温有望创新高，辽宁局地最高将超15℃以上！但周日起，一股冷空气将给中东部带来4-6℃降温，东北局部降10-12℃[吃惊]http://t.cn/RAholzr 这忽上忽下的，请坚强[奥特曼]<>明天春游＿春分游也是不错的选择[哈哈][喵喵];160,23;1,2;2
【气温就是这么任性[doge]】乍暖还寒，你无法确定今天是春天还是冬天[生病]今明两天，升温继续，长春、沈阳、合肥、武汉等大城市气温有望创新高，辽宁局地最高将超15℃以上！但周日起，一股冷空气将给中东部带来4-6℃降温，东北局部降10-12℃[吃惊]http://t.cn/RAholzr 这忽上忽下的，请坚强[奥特曼]<>居然比上海还热……;160,9;1,1;2
【中国被盗肉身古佛疑现身欧洲】“千年佛像内端坐打坐和尚 ”在匈牙利展出后，引发多方关注。福建三明市村民判断，这尊宝像就是村里1995年被盗的章公祖师宝像，多个细节的相似度已完全吻合。报道传开后荷兰方面突然撤展，据称这尊坐佛是一位荷兰收藏家96年“合法”购得。详见：http://t.cn/RA7dO07<>泉州地区多处都有出现呢，好奇怎么可以保存的。[吃惊][吃惊];151,30;1,2;2
【山东政法委书记才利民因年龄原因不再任省委常委】因年龄原因，日前，中共中央批准：才利民不再担任山东省委常委职务。才利民，男，1955年1月生，满族，出生于河北省宽城满族自治县双庙沟，在职研究生文化，管理学博士，现任山东省委常委、政法委书记，省人大常委会副主任。http://t.cn/RAzxgor<>【山东政法委书记才利民因年龄原因不再任省委常委】;149,24;1,1;2
【山东政法委书记才利民因年龄原因不再任省委常委】因年龄原因，日前，中共中央批准：才利民不再担任山东省委常委职务。才利民，男，1955年1月生，满族，出生于河北省宽城满族自治县双庙沟，在职研究生文化，管理学博士，现任山东省委常委、政法委书记，省人大常委会副主任。http://t.cn/RAzxgor<>转发微博<>宽城人，功成名退。在这年代不容易啊。<>平安落地。。;149,4,18,6;1,1,2,2;4
【山东政法委书记才利民因年龄原因不再任省委常委】因年龄原因，日前，中共中央批准：才利民不再担任山东省委常委职务。才利民，男，1955年1月生，满族，出生于河北省宽城满族自治县双庙沟，在职研究生文化，管理学博士，现任山东省委常委、政法委书记，省人大常委会副主任。http://t.cn/RAzxgor<>所以，无论你是程序猿~还是公务员~在职研究生走到哪里都是承认的，国家都承认，为什么不抓住青葱岁月为钱途准备捏~:http://t.cn/RAwSZMi。[爱你];149,80;1,1;2
【山东政法委书记才利民因年龄原因不再任省委常委】因年龄原因，日前，中共中央批准：才利民不再担任山东省委常委职务。才利民，男，1955年1月生，满族，出生于河北省宽城满族自治县双庙沟，在职研究生文化，管理学博士，现任山东省委常委、政法委书记，省人大常委会副主任。http://t.cn/RAzxgor<>部级不是65岁吗？;149,9;1,1;2
【山东政法委书记才利民因年龄原因不再任省委常委】因年龄原因，日前，中共中央批准：才利民不再担任山东省委常委职务。才利民，男，1955年1月生，满族，出生于河北省宽城满族自治县双庙沟，在职研究生文化，管理学博士，现任山东省委常委、政法委书记，省人大常委会副主任。http://t.cn/RAzxgor<>這廝的太太是在加拿大口放豪言，聲稱如果敢動他男人就把山東領導班子給曝光那個嗎？;149,39;1,1;2
【独家：赵黎平与女过夜枪杀焚尸 踩点抛尸地被拍】知情人士向新浪网透露，赵黎平曾和被害女子在酒店过夜，事先在埋尸地踩点，和羊倌一起放羊。在第一案发地赵向女子开了两枪，“如果她第一次就被杀掉，估计这件事就没有然后了”。（新浪新闻出品） http://t.cn/RAZG3qw<>杀了人后成了杀人犯和贪官，这样的制度下还有多少潜伏贪官。;135,28;1,0;2
【独家：赵黎平与女过夜枪杀焚尸 踩点抛尸地被拍】知情人士向新浪网透露，赵黎平曾和被害女子在酒店过夜，事先在埋尸地踩点，和羊倌一起放羊。在第一案发地赵向女子开了两枪，“如果她第一次就被杀掉，估计这件事就没有然后了”。（新浪新闻出品） http://t.cn/RAZG3qw<>这情节和人物设定就是一部film noir，腐败的警察，被杀害的蛇蝎女郎，公路拦车逃亡。;135,44;1,0;2
【独家：赵黎平与女过夜枪杀焚尸 踩点抛尸地被拍】知情人士向新浪网透露，赵黎平曾和被害女子在酒店过夜，事先在埋尸地踩点，和羊倌一起放羊。在第一案发地赵向女子开了两枪，“如果她第一次就被杀掉，估计这件事就没有然后了”。（新浪新闻出品） http://t.cn/RAZG3qw<>好不容易放个假 没有第一时间了解到这则新闻。昨晚写完作业开始查看以前只略有耳闻的呼格吉勒图案 四罪越狱案。不寒而栗。手握权力却变成杀人不眨眼的恶魔 这样的悲惨案件 黑色交易还有多少？？望有关部门彻查。新一代的我们将充分相信习大大带领下逐渐焕然一新的祖国 并将为之奋斗不息。@央视新闻;135,141;1,2;2
关于央视报道北京某家小肥羊餐厅售卖的鸭血检出猪源性成分，小肥羊感到意外并深切关注。为避免消费者疑虑，已要求该餐厅预防性暂时停售该产品。当事餐厅使用的鸭血由符合资质的专业鸭血供应商提供。小肥羊已经即刻展开调查核实工作，同时将积极配合相关政府部门，尽快搞清事实并通报大家。感谢关注。<>只要羊肉还是羊肉就行……[汗];139,15;1,0;2
关于央视报道北京某家小肥羊餐厅售卖的鸭血检出猪源性成分，小肥羊感到意外并深切关注。为避免消费者疑虑，已要求该餐厅预防性暂时停售该产品。当事餐厅使用的鸭血由符合资质的专业鸭血供应商提供。小肥羊已经即刻展开调查核实工作，同时将积极配合相关政府部门，尽快搞清事实并通报大家。感谢关注。<>丧心病狂的商家，赶紧关门歇业。滚出中国！;139,20;1,0;2
关于央视报道北京某家小肥羊餐厅售卖的鸭血检出猪源性成分，小肥羊感到意外并深切关注。为避免消费者疑虑，已要求该餐厅预防性暂时停售该产品。当事餐厅使用的鸭血由符合资质的专业鸭血供应商提供。小肥羊已经即刻展开调查核实工作，同时将积极配合相关政府部门，尽快搞清事实并通报大家。感谢关注。<>小肥羊的筷子从来不洗;139,10;1,0;2
关于央视报道北京某家小肥羊餐厅售卖的鸭血检出猪源性成分，小肥羊感到意外并深切关注。为避免消费者疑虑，已要求该餐厅预防性暂时停售该产品。当事餐厅使用的鸭血由符合资质的专业鸭血供应商提供。小肥羊已经即刻展开调查核实工作，同时将积极配合相关政府部门，尽快搞清事实并通报大家。感谢关注。<>意外？呵呵;139,5;1,0;2
关于央视报道北京某家小肥羊餐厅售卖的鸭血检出猪源性成分，小肥羊感到意外并深切关注。为避免消费者疑虑，已要求该餐厅预防性暂时停售该产品。当事餐厅使用的鸭血由符合资质的专业鸭血供应商提供。小肥羊已经即刻展开调查核实工作，同时将积极配合相关政府部门，尽快搞清事实并通报大家。感谢关注。<>真是死不悔改的不负责的言论;139,13;1,0;2
关于央视报道北京某家小肥羊餐厅售卖的鸭血检出猪源性成分，小肥羊感到意外并深切关注。为避免消费者疑虑，已要求该餐厅预防性暂时停售该产品。当事餐厅使用的鸭血由符合资质的专业鸭血供应商提供。小肥羊已经即刻展开调查核实工作，同时将积极配合相关政府部门，尽快搞清事实并通报大家。感谢关注。<>所谓检出，有3种可能:1、猪血冒充鸭血；2、猪血掺鸭血；3、鸭血，但接触过猪血或猪肉。DNA检测做物种鉴定存在很大不确定因素，随便采个样就下结论，还上315，是不是有点太任性？;139,88;1,0;2
#315曝光台#【业内爆苹果只换不修是潜规则 换到手的是翻新机】手里的苹果产品坏了，拿去售后维修店，却被告知只能更换整体部件，不能只针对损坏的零件维修。“苹果公司就是采取一刀切的方法，你爱修不修。”业内爆苹果只换不修是潜规则，换到的“新机”其实是翻新机。详细：http://t.cn/Rwk9oNy<>[doge];149,6;1,1;2
#315曝光台#【业内爆苹果只换不修是潜规则 换到手的是翻新机】手里的苹果产品坏了，拿去售后维修店，却被告知只能更换整体部件，不能只针对损坏的零件维修。“苹果公司就是采取一刀切的方法，你爱修不修。”业内爆苹果只换不修是潜规则，换到的“新机”其实是翻新机。详细：http://t.cn/Rwk9oNy<>告诉大家一个消息，可以去苹果官网买手机，或者打客服电话购买，顺丰包邮，14天无理由退货，申请退货后，邮政快递会上门取货。取货时间自己安排。钱会原封不动的退还到你付钱的卡里。我试过;149,89;1,1;2
#315曝光台#【业内爆苹果只换不修是潜规则 换到手的是翻新机】手里的苹果产品坏了，拿去售后维修店，却被告知只能更换整体部件，不能只针对损坏的零件维修。“苹果公司就是采取一刀切的方法，你爱修不修。”业内爆苹果只换不修是潜规则，换到的“新机”其实是翻新机。详细：http://t.cn/Rwk9oNy<>这有什么可曝光的呢，难道不是一直都这样嘛。。官翻机难道不是原厂的么？有啥问题？;149,39;1,1;2
#315曝光台#【业内爆苹果只换不修是潜规则 换到手的是翻新机】手里的苹果产品坏了，拿去售后维修店，却被告知只能更换整体部件，不能只针对损坏的零件维修。“苹果公司就是采取一刀切的方法，你爱修不修。”业内爆苹果只换不修是潜规则，换到的“新机”其实是翻新机。详细：http://t.cn/Rwk9oNy<>由当地代理拆开来修个七零八落搞不好还把你电池换了这样好不好？换个官方翻新的机器还不爽？是要有多贱？要找茬去找那些硬骨头嘛，不用天天捏软柿子;149,69;1,1;2
#315曝光台#【业内爆苹果只换不修是潜规则 换到手的是翻新机】手里的苹果产品坏了，拿去售后维修店，却被告知只能更换整体部件，不能只针对损坏的零件维修。“苹果公司就是采取一刀切的方法，你爱修不修。”业内爆苹果只换不修是潜规则，换到的“新机”其实是翻新机。详细：http://t.cn/Rwk9oNy<>我就是搞这一行的，我比较有发言权。首先要清楚，官方翻新机的品质和全新机基本没区别，外观还和全新一样。按现有的售后政策，你在手机坏了以后可以当场拿到一个新的手机。按照记者希望售后政策是:手机坏了以后，先返厂修十五天以后拿到一个修过的手机。你只要智商正常，你选哪个售后政策？;149,135;1,2;2
#315曝光台#【业内爆苹果只换不修是潜规则 换到手的是翻新机】手里的苹果产品坏了，拿去售后维修店，却被告知只能更换整体部件，不能只针对损坏的零件维修。“苹果公司就是采取一刀切的方法，你爱修不修。”业内爆苹果只换不修是潜规则，换到的“新机”其实是翻新机。详细：http://t.cn/Rwk9oNy<>从前人家修理说人家歧视中国人，小红马甲记者组团跟文革一样去人家店里打砸黑，后来人家换整机又说人家用旧零件，总之人家怎么做都不对，国内媒体的素质倒是让外国同仁笑话了。请问国产品牌如何？我家里的TCL扔着角落咋没人给我修没人给我换呢？你们倒是报道啊！;149,123;1,2;2
#315曝光台#【业内爆苹果只换不修是潜规则 换到手的是翻新机】手里的苹果产品坏了，拿去售后维修店，却被告知只能更换整体部件，不能只针对损坏的零件维修。“苹果公司就是采取一刀切的方法，你爱修不修。”业内爆苹果只换不修是潜规则，换到的“新机”其实是翻新机。详细：http://t.cn/Rwk9oNy<>信用卡非本人操作自动给苹果ID充值，所充ID值款又自动消费到苹果商店游戏里，金额一万三千多，后与银行交涉已少额退款，现在银行，银联苹果公司相互推卸责任均无正面回答。但是现在我也有证据可以证明这些钱不是我们自己充值的，没人替我们消费者讨公道。;149,120;1,1;2
#315曝光台#【业内爆苹果只换不修是潜规则 换到手的是翻新机】手里的苹果产品坏了，拿去售后维修店，却被告知只能更换整体部件，不能只针对损坏的零件维修。“苹果公司就是采取一刀切的方法，你爱修不修。”业内爆苹果只换不修是潜规则，换到的“新机”其实是翻新机。详细：http://t.cn/Rwk9oNy<>我屏碎了拿去就让加钱换，换的新机是3月9日激活的可是根据序列号去官网查却显示是3月7号，然后质保到期是明年的3月7日，这样的话我该怎么找他们;149,70;1,1;2
#315曝光台#【苹果数据线被指容易脱皮：售后称检测后方可换】多名消费者反映，称自己使用的iPhone、iPad数据线频繁出现开胶、脱皮等情况。调查发现，iPhone原装数据线价格在百元以上，使用用不到几个月，打结、脱皮现象比较普遍。用户使用时要多加小心。详细：http://t.cn/Rwkpws0<>苹果的售后，。。。。真是;150,12;1,0;2
#315曝光台#【苹果数据线被指容易脱皮：售后称检测后方可换】多名消费者反映，称自己使用的iPhone、iPad数据线频繁出现开胶、脱皮等情况。调查发现，iPhone原装数据线价格在百元以上，使用用不到几个月，打结、脱皮现象比较普遍。用户使用时要多加小心。详细：http://t.cn/Rwkpws0<>从4s到5s一直存在 现在才发现？;150,17;1,0;2
#315曝光台#【苹果数据线被指容易脱皮：售后称检测后方可换】多名消费者反映，称自己使用的iPhone、iPad数据线频繁出现开胶、脱皮等情况。调查发现，iPhone原装数据线价格在百元以上，使用用不到几个月，打结、脱皮现象比较普遍。用户使用时要多加小心。详细：http://t.cn/Rwkpws0<>我都换两个了;150,6;1,0;2
